City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,kruisfontein,-34.0033,24.7314,11.6,69,87,3.53,ZA,1686624140
247,vila do maio,15.1333,-23.2167,25.44,87,94,7.48,CV,1686624436
248,chimoio,-19.1164,33.4833,15.45,45,0,2.76,MZ,1686624437
249,polyarnyy,69.1989,33.4478,9.87,65,92,6.32,RU,1686624245
250,bardsir,29.9227,56.5743,24.01,29,12,1.47,IR,1686624437
251,guiuan,11.0333,125.7247,29.38,72,100,4.98,PH,1686624437
252,holualoa,19.6228,-155.9522,25.91,84,40,4.63,US,1686624143
253,durazno,-33.4131,-56.5006,3.82,80,5,1.67,UY,1686624437
254,wotho,10.1657,166.0102,28.15,79,65,8.54,MH,1686624437
255,lompoc,34.6391,-120.4579,18.21,83,0,3.09,US,1686624230
256,birao,10.2849,22.7882,24.09,83,100,1.42,CF,1686624387
257,mokhsogollokh,61.4681,128.9203,6.56,76,100,0.93,RU,1686624438
258,debre werk',10.6667,38.1667,14.87,65,100,0.81,ET,1686624438
259,parksville,49.3163,-124.3195,27.98,43,47,8.75,CA,1686624366
260,miandrivazo,-19.5167,45.4667,17.04,65,0,0.57,MG,1686624438
261,wenchang,30.904,118.4887,23.5,84,100,1.43,CN,1686624438
262,rio segundo,-31.6526,-63.9099,-0.19,46,39,2.05,AR,1686624438
263,conception bay south,47.4999,-52.9981,8.08,95,100,7.94,CA,1686624223
264,carutapera,-1.195,-46.02,24.55,93,65,2.91,BR,1686624099
265,akrehamn,59.2667,5.1833,14.01,62,100,1.03,NO,1686624439
266,mili,6.0815,171.735,28.25,80,100,7.68,MH,1686624261
267,san borja,-14.8167,-66.85,12.28,89,100,3.6,BO,1686624439
268,xinmin,41.9908,122.8253,24.88,43,26,1.26,CN,1686624439
269,pedernales,18.0384,-71.744,27.52,62,5,3.28,DO,1686624439
270,houghton,47.1219,-88.569,10.06,96,100,4.63,US,1686623816
271,nantucket,41.2835,-70.0995,19.03,100,100,5.66,US,1686624440
272,port douglas,-16.4833,145.4667,24.4,74,33,3.43,AU,1686624440
273,papao,-17.75,-149.55,28.82,70,13,8.88,PF,1686624180
274,beau vallon,-20.4189,57.6953,23.45,94,40,2.06,MU,1686624440
275,avarua,-21.2078,-159.775,26.03,83,20,7.72,CK,1686624224
276,punta del este,-34.9667,-54.95,11.65,70,75,5.36,UY,1686624440
277,aoulef,26.9667,1.0833,32.05,10,0,4.69,DZ,1686624440
278,tindouf,27.6711,-8.1474,19.25,72,0,7.72,DZ,1686624440
279,tsiombe,-25.3,45.4833,16.7,95,10,3.49,MG,1686624251
280,luderitz,-26.6481,15.1594,12.25,81,0,4.21,NA,1686624224
281,marang,5.2056,103.2059,32.2,67,65,1.06,MY,1686624441
282,lebu,-37.6167,-73.65,7.8,70,0,6.13,CL,1686624134
283,esquel,-42.9,-71.3167,-1.27,78,12,1.61,AR,1686624441
284,saint-augustin-de-desmaures,46.7406,-71.4513,21.84,60,100,4.12,CA,1686624441
285,anadyr,64.75,177.4833,17.28,48,0,3.0,RU,1686624076
286,yerofey pavlovich,53.9667,121.9667,10.17,85,100,1.83,RU,1686624441
287,parkes,-33.1333,148.1833,16.86,59,2,0.45,AU,1686624441
288,zhigalovo,54.8097,105.1578,12.52,77,100,0.64,RU,1686624388
289,labrador city,52.9463,-66.9114,6.95,87,40,0.0,CA,1686624184
290,pizarro,4.9533,-77.366,26.56,83,84,0.82,CO,1686624272
291,saldanha,-33.0117,17.9442,13.03,83,100,7.95,ZA,1686624256
292,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,38,0,6.0,RU,1686624237
293,valdivia,-39.8142,-73.2459,2.6,98,12,1.63,CL,1686624442
294,saint-pierre,-21.3393,55.4781,21.98,73,0,3.09,RE,1686624265
295,cam ranh,11.9214,109.1591,33.98,46,20,3.09,VN,1686624442
296,san patricio,28.017,-97.5169,28.27,86,54,5.99,US,1686624401
297,nova vicosa,-17.8919,-39.3719,22.24,89,0,3.71,BR,1686624271
298,jos,9.9167,8.9,18.61,93,76,2.03,NG,1686624443
299,tazacorte,28.629,-17.9293,21.54,85,100,3.09,ES,1686624343
300,saudarkrokur,65.7461,-19.6394,8.43,83,8,3.1,IS,1686624133
301,andergrove,-21.0833,149.1833,26.47,70,2,2.7,AU,1686624444
302,kerikeri,-35.2268,173.9474,17.17,67,1,3.02,NZ,1686624143
303,chipinge,-20.1883,32.6236,15.57,33,4,2.47,ZW,1686624446
304,lauro de freitas,-12.8944,-38.3272,27.01,78,40,2.57,BR,1686624446
305,page,36.9147,-111.4558,18.88,48,0,1.54,US,1686624303
306,hotan,37.0997,79.9269,32.24,14,99,1.17,CN,1686624179
307,puerto armuelles,8.2833,-82.8667,29.49,74,74,1.34,PA,1686624346
308,trairi,-3.2778,-39.2689,25.45,81,1,3.68,BR,1686624271
309,villa gesell,-37.2639,-56.973,2.81,79,52,4.89,AR,1686624239
310,grossheubach,49.7272,9.2253,16.98,69,0,1.8,DE,1686624447
311,mersa matruh,31.3525,27.2453,21.11,83,0,0.0,EG,1686624447
312,alice springs,-23.7,133.8833,17.9,31,0,4.63,AU,1686624010
313,slavyanka,42.8633,131.3847,17.83,77,92,2.42,RU,1686624447
314,novoselitskoye,44.7508,43.4369,19.01,89,100,2.55,RU,1686624448
315,perryton,36.4,-100.8027,15.67,82,100,2.57,US,1686624448
316,uturoa,-16.7333,-151.4333,27.19,73,21,7.05,PF,1686624242
317,woolgoolga,-30.1106,153.2007,21.93,53,63,4.19,AU,1686624448
318,colac,-38.3333,143.5833,13.43,76,97,6.06,AU,1686624448
319,pekalongan,-6.8886,109.6753,29.34,71,33,1.1,ID,1686624448
320,shepshed,52.7657,-1.2902,15.51,89,0,2.06,GB,1686624448
321,mananjary,-21.2167,48.3333,19.43,90,49,2.68,MG,1686624448
322,mont-tremblant,46.1949,-74.6264,21.99,77,100,1.54,CA,1686624292
323,manta,-0.95,-80.7333,26.67,89,75,8.05,EC,1686624449
324,gordonvale,-17.0936,145.7842,28.28,78,71,2.71,AU,1686624449
325,funafuti,-8.5243,179.1942,32.0,79,75,3.6,TV,1686624449
326,dzilam gonzalez,21.2833,-88.9333,28.09,77,61,1.97,MX,1686624449
327,tolanaro,-25.0319,46.9987,17.04,94,20,0.0,MG,1686624061
328,mugia,43.1041,-9.2179,17.31,95,100,1.82,ES,1686624241
329,lubang,13.8584,120.124,29.28,77,62,8.7,PH,1686624104
330,port saint john's,-31.6229,29.5448,14.6,66,79,2.75,ZA,1686624268
331,afaahiti,-17.75,-149.2833,27.93,70,28,8.01,PF,1686624121
332,itaituba,-4.2761,-55.9836,24.22,88,44,0.81,BR,1686624223
333,edgewater,28.9889,-80.9023,29.01,66,20,4.12,US,1686624302
334,fortuna,40.5982,-124.1573,13.53,94,100,5.14,US,1686624163
335,sydney mines,46.2367,-60.2177,13.23,85,40,1.54,CA,1686624450
336,mahina,-17.5065,-149.489,28.87,61,40,2.57,PF,1686624450
337,prince rupert,54.3161,-130.3201,13.83,84,100,8.23,CA,1686624272
338,cooma,-36.2333,149.1333,12.86,44,100,5.66,AU,1686624450
339,katsuren-haebaru,26.3369,127.8719,28.0,98,75,4.12,JP,1686624450
340,el dorado,38.7666,-120.5177,19.29,89,56,1.59,US,1686624450
341,bela,25.9333,81.9833,40.43,22,12,5.96,IN,1686624451
342,yakakent,41.6325,35.5289,19.06,91,100,1.07,TR,1686624451
343,ketchikan,55.3422,-131.6461,17.26,55,0,4.12,US,1686624451
344,winkler,49.1817,-97.941,24.98,31,26,0.0,CA,1686624451
345,shigony,53.3875,48.6777,11.33,64,100,7.7,RU,1686624451
346,buritizeiro,-17.3511,-44.9622,22.48,47,79,1.1,BR,1686624451
347,nizhniy odes,63.6445,54.856,13.79,72,100,4.05,RU,1686624243
348,lospalos,-8.5186,127.0025,25.82,63,90,5.53,TL,1686624253
349,geidam,12.897,11.9304,31.04,47,28,1.44,NG,1686624452
350,al jawf,29.5,38.75,24.01,33,0,1.88,SA,1686624249
351,chonchi,-42.6128,-73.8092,3.56,95,32,0.79,CL,1686624133
352,turpan,42.9333,89.1667,36.3,14,100,2.47,CN,1686624452
353,san luis de la loma,17.2706,-100.8939,28.08,76,5,2.77,MX,1686624452
354,n'zeto,-7.2312,12.8666,21.49,92,92,2.96,AO,1686624452
355,ad dabbah,18.05,30.95,33.37,16,75,3.51,SD,1686624239
356,seosan,36.7817,126.4522,23.33,53,96,2.82,KR,1686624452
357,crane,31.3974,-102.3501,31.89,13,2,4.29,US,1686624213
358,pontianak,-0.0333,109.3333,28.99,74,20,2.57,ID,1686624171
359,aberdeen,57.1437,-2.0981,15.36,100,62,1.54,GB,1686624307
360,puerto gaitan,4.3133,-72.0816,24.54,90,59,2.59,CO,1686624453
361,broome,42.2506,-75.833,17.47,96,100,4.12,US,1686624453
362,ouadda,8.0777,22.4007,20.43,99,100,0.7,CF,1686624453
363,evans,33.5337,-82.1307,25.56,75,3,2.24,US,1686624220
